VPV,IPV,D
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,85","284,76","0,35967"
"397,67","284,85","0,35967"
"397,31","285,01","0,35967"
"397,37","285,01","0,35967"
"397,28","285,07","0,35967"
"397,6","284,97","0,35967"
"397,76","284,94","0,35967"
"398,33","284,73","0,35967"
"398,76","284,59","0,35967"
"399,58","284,27","0,35967"
"400,25","284,02","0,35967"
"401,29","283,57","0,35967"
"402,16","283,2","0,35967"
"403,37","282,62","0,35967"
"404,38","282,13","0,35967"
"405,7","281,41","0,35967"
"406,8","280,81","0,35967"
"408,18","279,96","0,35967"
"409,3","279,25","0,35967"
"410,68","278,29","0,35967"
"411,77","277,5","0,35967"
"413,1","276,45","0,35967"
"414,1","275,63","0,35967"
"415,33","274,54","0,35967"
"416,18","273,75","0,35967"
"417,23","272,7","0,35967"
"417,88","272,04","0,35967"
"418,7","271,14","0,35967"
"419,09","270,68","0,35967"
"419,66",270,"0,35967"
"419,78","269,81","0,35967"
"420,09","269,4","0,35967"
"419,98","269,48","0,35967"
"420,07","269,32","0,35967"
"419,73","269,64","0,35967"
"419,61","269,72","0,35967"
"419,09","270,25","0,35967"
"418,8","270,51","0,35967"
"418,1","271,2","0,35967"
"417,65","271,63","0,35967"
"416,81","272,44","0,35967"
"416,23","272,97","0,35967"
"415,28","273,83","0,35967"
"414,61","274,42","0,35967"
"413,58","275,29","0,35967"
"412,84","275,9","0,35967"
"411,76","276,75","0,35967"
"410,98","277,34","0,35967"
"409,86","278,15","0,35967"
"409,06","278,71","0,35967"
"407,9","279,47","0,35967"
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,85","284,76","0,35967"
"397,67","284,85","0,35967"
"397,31","285,01","0,35967"
"397,37","285,01","0,35967"
"397,28","285,07","0,35967"
"397,6","284,97","0,35967"
"397,76","284,94","0,35967"
"398,33","284,73","0,35967"
"398,76","284,59","0,35967"
"399,58","284,27","0,35967"
"400,25","284,02","0,35967"
"401,3","283,57","0,35967"
"402,16","283,2","0,35967"
"403,37","282,62","0,35967"
"404,38","282,13","0,35967"
"405,7","281,41","0,35967"
"406,8","280,81","0,35967"
"408,18","279,96","0,35967"
"409,3","279,25","0,35967"
"410,68","278,29","0,35967"
"411,77","277,5","0,35967"
"413,1","276,45","0,35967"
"414,11","275,63","0,35967"
"415,33","274,54","0,35967"
"416,18","273,75","0,35967"
"417,23","272,7","0,35967"
"417,88","272,04","0,35967"
"418,7","271,14","0,35967"
"419,09","270,68","0,35967"
"419,66",270,"0,35967"
"419,78","269,81","0,35967"
"420,09","269,4","0,35967"
"419,98","269,48","0,35967"
"420,07","269,32","0,35967"
"419,73","269,64","0,35967"
"419,61","269,72","0,35967"
"419,09","270,25","0,35967"
"418,8","270,51","0,35967"
"418,1","271,2","0,35967"
"417,65","271,63","0,35967"
"416,81","272,44","0,35967"
"416,23","272,97","0,35967"
"415,28","273,83","0,35967"
"414,61","274,42","0,35967"
"413,58","275,29","0,35967"
"412,84","275,9","0,35967"
"411,76","276,75","0,35967"
"410,98","277,34","0,35967"
"409,86","278,15","0,35967"
"409,06","278,71","0,35967"
"407,9","279,47","0,35967"
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,85","284,76","0,35967"
"397,67","284,85","0,35967"
"397,31","285,01","0,35967"
"397,37","285,01","0,35967"
"397,28","285,07","0,35967"
"397,6","284,97","0,35967"
"397,76","284,94","0,35967"
"398,33","284,73","0,35967"
"398,76","284,59","0,35967"
"399,58","284,27","0,35967"
"400,25","284,02","0,35967"
"401,3","283,57","0,35967"
"402,16","283,2","0,35967"
"403,37","282,62","0,35967"
"404,38","282,13","0,35967"
"405,7","281,41","0,35967"
"406,8","280,81","0,35967"
"408,18","279,96","0,35967"
"409,3","279,25","0,35967"
"410,68","278,29","0,35967"
"411,77","277,5","0,35967"
"413,1","276,45","0,35967"
"414,11","275,63","0,35967"
"415,33","274,54","0,35967"
"416,18","273,75","0,35967"
"417,23","272,7","0,35967"
"417,88","272,04","0,35967"
"418,7","271,14","0,35967"
"419,09","270,68","0,35967"
"419,66",270,"0,35967"
"419,78","269,81","0,35967"
"420,09","269,4","0,35967"
"419,98","269,48","0,35967"
"420,07","269,32","0,35967"
"419,73","269,64","0,35967"
"419,61","269,72","0,35967"
"419,09","270,25","0,35967"
"418,8","270,51","0,35967"
"418,1","271,2","0,35967"
"417,65","271,63","0,35967"
"416,81","272,44","0,35967"
"416,23","272,97","0,35967"
"415,28","273,83","0,35967"
"414,61","274,42","0,35967"
"413,58","275,29","0,35967"
"412,84","275,9","0,35967"
"411,76","276,75","0,35967"
"410,98","277,34","0,35967"
"409,86","278,15","0,35967"
"409,06","278,71","0,35967"
"407,9","279,47","0,35967"
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,85","284,76","0,35967"
"397,67","284,85","0,35967"
"397,31","285,01","0,35967"
"397,37","285,01","0,35967"
"397,28","285,07","0,35967"
"397,6","284,97","0,35967"
"397,76","284,94","0,35967"
"398,33","284,73","0,35967"
"398,76","284,59","0,35967"
"399,58","284,27","0,35967"
"400,25","284,02","0,35967"
"401,3","283,57","0,35967"
"402,16","283,2","0,35967"
"403,37","282,62","0,35967"
"404,38","282,13","0,35967"
"405,7","281,41","0,35967"
"406,8","280,81","0,35967"
"408,18","279,96","0,35967"
"409,3","279,25","0,35967"
"410,68","278,29","0,35967"
"411,77","277,5","0,35967"
"413,1","276,45","0,35967"
"414,11","275,63","0,35967"
"415,33","274,54","0,35967"
"416,18","273,75","0,35967"
"417,23","272,7","0,35967"
"417,88","272,04","0,35967"
"418,7","271,14","0,35967"
"419,09","270,68","0,35967"
"419,66",270,"0,35967"
"419,78","269,81","0,35967"
"420,09","269,4","0,35967"
"419,98","269,48","0,35967"
"420,07","269,32","0,35967"
"419,73","269,64","0,35967"
"419,61","269,72","0,35967"
"419,09","270,25","0,35967"
"418,8","270,51","0,35967"
"418,1","271,2","0,35967"
"417,65","271,63","0,35967"
"416,81","272,44","0,35967"
"416,23","272,97","0,35967"
"415,28","273,83","0,35967"
"414,61","274,42","0,35967"
"413,58","275,29","0,35967"
"412,84","275,9","0,35967"
"411,76","276,75","0,35967"
"410,98","277,34","0,35967"
"409,86","278,15","0,35967"
"409,06","278,71","0,35967"
"407,9","279,47","0,35967"
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,85","284,76","0,35967"
"397,67","284,85","0,35967"
"397,31","285,01","0,35967"
"397,37","285,01","0,35967"
"397,28","285,07","0,35967"
"397,6","284,97","0,35967"
"397,76","284,94","0,35967"
"398,33","284,73","0,35967"
"398,76","284,59","0,35967"
"399,58","284,27","0,35967"
"400,25","284,02","0,35967"
"401,3","283,57","0,35967"
"402,16","283,2","0,35967"
"403,37","282,62","0,35967"
"404,38","282,13","0,35967"
"405,7","281,41","0,35967"
"406,8","280,81","0,35967"
"408,18","279,96","0,35967"
"409,3","279,25","0,35967"
"410,68","278,29","0,35967"
"411,77","277,5","0,35967"
"413,1","276,45","0,35967"
"414,11","275,63","0,35967"
"415,33","274,54","0,35967"
"416,18","273,75","0,35967"
"417,23","272,7","0,35967"
"417,88","272,04","0,35967"
"418,7","271,14","0,35967"
"419,09","270,68","0,35967"
"419,66",270,"0,35967"
"419,78","269,81","0,35967"
"420,09","269,4","0,35967"
"419,98","269,48","0,35967"
"420,07","269,32","0,35967"
"419,73","269,64","0,35967"
"419,61","269,72","0,35967"
"419,09","270,25","0,35967"
"418,8","270,51","0,35967"
"418,1","271,2","0,35967"
"417,65","271,63","0,35967"
"416,81","272,44","0,35967"
"416,23","272,97","0,35967"
"415,28","273,83","0,35967"
"414,61","274,42","0,35967"
"413,58","275,29","0,35967"
"412,84","275,9","0,35967"
"411,76","276,75","0,35967"
"410,98","277,34","0,35967"
"409,86","278,15","0,35967"
"409,06","278,71","0,35967"
"407,9","279,47","0,35967"
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,85","284,76","0,35967"
"397,67","284,85","0,35967"
"397,31","285,01","0,35967"
"397,37","285,01","0,35967"
"397,28","285,07","0,35967"
"397,6","284,97","0,35967"
"397,76","284,94","0,35967"
"398,33","284,73","0,35967"
"398,76","284,59","0,35967"
"399,58","284,27","0,35967"
"400,25","284,02","0,35967"
"401,3","283,57","0,35967"
"402,16","283,2","0,35967"
"403,37","282,62","0,35967"
"404,38","282,13","0,35967"
"405,7","281,41","0,35967"
"406,8","280,81","0,35967"
"408,18","279,96","0,35967"
"409,3","279,25","0,35967"
"410,68","278,29","0,35967"
"411,77","277,5","0,35967"
"413,1","276,45","0,35967"
"414,11","275,63","0,35967"
"415,33","274,54","0,35967"
"416,18","273,75","0,35967"
"417,23","272,7","0,35967"
"417,88","272,04","0,35967"
"418,7","271,14","0,35967"
"419,09","270,68","0,35967"
"419,66",270,"0,35967"
"419,78","269,81","0,35967"
"420,09","269,4","0,35967"
"419,98","269,48","0,35967"
"420,07","269,32","0,35967"
"419,73","269,64","0,35967"
"419,61","269,72","0,35967"
"419,09","270,25","0,35967"
"418,8","270,51","0,35967"
"418,1","271,2","0,35967"
"417,65","271,63","0,35967"
"416,81","272,44","0,35967"
"416,23","272,97","0,35967"
"415,28","273,83","0,35967"
"414,61","274,42","0,35967"
"413,58","275,29","0,35967"
"412,84","275,9","0,35967"
"411,76","276,75","0,35967"
"410,98","277,34","0,35967"
"409,86","278,15","0,35967"
"409,06","278,71","0,35967"
"407,9","279,47","0,35967"
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,85","284,76","0,35967"
"397,67","284,85","0,35967"
"397,31","285,01","0,35967"
"397,37","285,01","0,35967"
"397,28","285,07","0,35967"
"397,6","284,97","0,35967"
"397,76","284,94","0,35967"
"398,33","284,73","0,35967"
"398,76","284,59","0,35967"
"399,58","284,27","0,35967"
"400,25","284,02","0,35967"
"401,3","283,57","0,35967"
"402,16","283,2","0,35967"
"403,37","282,62","0,35967"
"404,38","282,13","0,35967"
"405,7","281,41","0,35967"
"406,8","280,81","0,35967"
"408,18","279,96","0,35967"
"409,3","279,25","0,35967"
"410,68","278,29","0,35967"
"411,77","277,5","0,35967"
"413,1","276,45","0,35967"
"414,11","275,63","0,35967"
"415,33","274,54","0,35967"
"416,18","273,75","0,35967"
"417,23","272,7","0,35967"
"417,88","272,04","0,35967"
"418,7","271,14","0,35967"
"419,09","270,68","0,35967"
"419,66",270,"0,35967"
"419,78","269,81","0,35967"
"420,09","269,4","0,35967"
"419,98","269,48","0,35967"
"420,07","269,32","0,35967"
"419,73","269,64","0,35967"
"419,61","269,72","0,35967"
"419,09","270,25","0,35967"
"418,8","270,51","0,35967"
"418,1","271,2","0,35967"
"417,65","271,63","0,35967"
"416,81","272,44","0,35967"
"416,23","272,97","0,35967"
"415,28","273,83","0,35967"
"414,61","274,42","0,35967"
"413,58","275,29","0,35967"
"412,84","275,9","0,35967"
"411,76","276,75","0,35967"
"410,98","277,34","0,35967"
"409,86","278,15","0,35967"
"409,06","278,71","0,35967"
"407,9","279,47","0,35967"
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,85","284,76","0,35967"
"397,67","284,85","0,35967"
"397,31","285,01","0,35967"
"397,37","285,01","0,35967"
"397,28","285,07","0,35967"
"397,6","284,97","0,35967"
"397,76","284,94","0,35967"
"398,33","284,73","0,35967"
"398,76","284,59","0,35967"
"399,58","284,27","0,35967"
"400,25","284,02","0,35967"
"401,3","283,57","0,35967"
"402,16","283,2","0,35967"
"403,37","282,62","0,35967"
"404,38","282,13","0,35967"
"405,7","281,41","0,35967"
"406,8","280,81","0,35967"
"408,18","279,96","0,35967"
"409,3","279,25","0,35967"
"410,68","278,29","0,35967"
"411,77","277,5","0,35967"
"413,1","276,45","0,35967"
"414,11","275,63","0,35967"
"415,33","274,54","0,35967"
"416,18","273,75","0,35967"
"417,23","272,7","0,35967"
"417,88","272,04","0,35967"
"418,7","271,14","0,35967"
"419,09","270,68","0,35967"
"419,66",270,"0,35967"
"419,78","269,81","0,35967"
"420,09","269,4","0,35967"
"419,98","269,48","0,35967"
"420,07","269,32","0,35967"
"419,73","269,64","0,35967"
"419,61","269,72","0,35967"
"419,09","270,25","0,35967"
"418,8","270,51","0,35967"
"418,1","271,2","0,35967"
"417,65","271,63","0,35967"
